year,disaster_type,country,iso,latitude,longitude,total_deaths,total_damages
2011,Storm,Philippines,PHL,8.526,124.88,1439,38082
2011,Flood,Italy,ITA,44.422,9.33,10,545000
2011,Flood,North Korea,KOR,37.851,126.87,53,52000
2011,Earthquake,New Zealand,NZL,-43.564,172.743,1,3000000
2011,Flood,Cambodia,KHM,12.004,105.5,247,521000
2011,Earthquake,Turkey,TUR,38.721,43.508,604,1500000
2012,Flood,Sri Lanka,LKA,7.976,80.77,53,1200
2012,Earthquake,Myanmar,MMR,23.005,95.885,38,1170
2012,Earthquake,Philippines,PHL,9.999,123.206,113,8900
2012,Earthquake,Iran,IRN,38.329,46.826,306,500000
2012,Earthquake,Italy,ITA,44.89,11.23,7,15800000
2012,Flood,Italy,ITA,43.1605,12.41,4,15000
2012,Flood,Kenya,KEN,-0.191962,35.19,73,100000
2012,Earthquake,Mexico,MEX,16.493,-98.231,2,320000
2012,Flood,Nepal,NPL,28.524,83.83,72,1000
2012,Flood,Pakistan,PAK,28.04,68.77,480,2500000
2012,Earthquake,Philippines,PHL,10.811,126.638,1,3244
2012,Flood,Senegal,SEN,14.46,-15.49,19,10000
2013,Storm,Somalia,SOM,21.68,57.43,162,2000
2013,Flood,Kenya,KEN,2.46174,36.72,96,36000
2013,Flood,Philippines,PHL,16.3191,121.14,31,2190000
2013,Earthquake,Solomon Islands,SLB,-10.799,165.114,10,2000
2013,Earthquake,Iran,IRN,28.428,51.593,37,600000
2013,Flood,Italy,ITA,40.3,9.01,18,780000
2013,Flood,Mozambique,MOZ,-24.8006,32.68,119,30000
2013,Flood,Mauritius,MUS,-20.2305,57.52,11,2000
2013,Flood,Malaysia,MYS,3.58444,102.36,4,2000
2013,Earthquake,Pakistan,PAK,26.951,65.5009,399,100000
2013,Flood,Pakistan,PAK,28.7404,69.11,234,1500000
2013,Earthquake,Philippines,PHL,9.8796,124.1167,230,51459
2013,Flood,Sudan (the),SDN,13.6883,28.99,76,7000
2014,Flood,Italy,ITA,43.9958,7.1,2,120000
2014,Earthquake,Iran,IRN,27.1502,54.4482,1,2000
2012,Storm,USA,USA,30.503,-89.35,1,2000000
2012,Flood,USA,USA,30.3632,-58.51,2,174000
2012,Storm,USA,USA,28.9635,-82.5,9,210000
2012,Flood,Vietnam,VNM,38.19,126.24,34,30000
2012,Flood,South Africa,ZAF,-32.93,26.56,13,200000
2013,Flood,Saint Vincent and the Grenadines,VCT,13.9188,-60.99,12,108000
2013,Flood,USA,USA,38.2138,-94.15,3,25000
2013,Flood,USA,USA,28.899,-98.89,3,2000
2013,Flood,USA,USA,38.8278,-88.64,5,325000
2013,Flood,Vietnam,VNM,15.58,107.7,47,72000
2014,Earthquake,Chile,CHL,-19.61,-70.769,6,100000
2014,Flood,Burundi,BDI,-4.14041,29.65,96,2000
2014,Earthquake,China,CHN,27.1891,103.4086,731,5000000
2014,Earthquake,China,CHN,23.3834,100.4702,1,274000
2014,Earthquake,China,CHN,30.3398,101.7374,5,50000
2014,Earthquake,Greece,GRC,40.2893,25.3889,3,450000
2015,Flood,Chile,CHL,-22.3617,-68.89,178,1500000
2015,Flood,China,CHN,27.0326,114.98,58,800000
2015,Flood,Georgia,GEO,42.0683,44.54,40,23000
2015,Earthquake,Chile,CHL,-31.5729,-71.6744,19,800000
2015,Earthquake,China,CHN,37.4593,78.1542,3,3200
2015,Flood,France,FRA,43.377,6.53,20,924000
2015,Flood,Ghana,GHA,7.38005,-0.55,25,12000
2015,Landslide,Guatemala,GTM,148.262,-906.13,350,5000
2016,Earthquake,Ecuador,ECU,0.382,-79.92,672,2000000
2016,Flood,China,CHN,247.041,113.99,5,170000
2016,Flood,China,CHN,27.976,114.24,289,22000000
